SKU;MPN;MPNR (GTIN/EAN);Marke;Artikelbezeichnung;Kategorie;Benutzerdefiniert;Mein EK-Preis;Mein Preis;Meine Versandkosten;Mein Gesamtpreis;UVP;Preise;Meine Position;Position (Gesamtpreis);Günstigster Preis;Günstigster Anbieter;Günstigster Gesamtpreis;Günstigster Gesamtpreis-Anbieter;Differenz zum günstigsten Preis;Differenz zum günstigsten Gesamtpreis;Medianpreis;Preisvorschlag;Preisvorschlag Info;Preisvorschlag berechnet;Mindestpreis;Standardpreis;Letzte Preisänderung eines Mitbewerbers;Letzter Preisabruf;Im Shop Tracker seit;Auf Watchlist;Aktualisiert im Artikelfeed
X6907899;e955508;4054571388063;Cube;Cube Access WS EAZ Silber Modell Aktion;Fahrräder;m000065184;;439.99;39.99;479.98;629.0;0;1;1;;;;;;;;;;;439.99;559.99;2025-03-03 04:12:47 +0100;2026-02-06 03:05:31 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907919;e955568;4054571388261;Cube;Cube Access WS Pro Blau Modell Aktion;Fahrräder;m000065190;;599.99;39.99;639.98;799.0;1;1;1;659.99;lucky-bike.de;659.99;lucky-bike.de;-60.0;-20.01;659.99;659.99;Angewendeter Preis: 659,99 € (http://schema.org/InStock) bei lucky-bike.de (shop). Keiner ist günstiger.;2026-03-27 20:01:35 +0100;559.99;719.99;2026-01-30 13:18:28 +0100;2026-02-06 06:38:15 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907927;e955592;4054571388346;Cube;Cube Access WS Race Grün Modell Aktion;Fahrräder;m000065192;;749.99;39.99;789.98;999.0;0;1;1;;;;;;;;899.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;699.99;899.99;2025-03-12 04:28:46 +0100;2026-02-06 03:05:40 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907931;e955604;4054571388384;Cube;Cube Access WS Race Grün Modell Aktion;Fahrräder;m000065192;;749.99;39.99;789.98;999.0;0;1;1;;;;;;;;899.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;699.99;899.99;2025-06-20 04:08:23 +0200;2026-02-06 03:05:43 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907935;e955616;4054571388421;Cube;Cube Access WS SLX Grau Modell Aktion;Fahrräder;m000065194;;899.99;39.99;939.98;1199.0;1;1;2;899.99;lucky-bike.de;899.99;lucky-bike.de;0.0;39.99;899.99;899.99;Angewendeter Preis: 899,99 € (http://schema.org/InStock) bei lucky-bike.de (shop). Keiner ist günstiger.;2026-03-27 20:01:35 +0100;839.99;1099.99;2026-03-20 20:47:23 +0100;2026-02-06 07:11:07 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907939;e955628;4054571388469;Cube;Cube Access WS SLX Lila Modell Aktion;Fahrräder;m000065194;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-11-28 07:02:25 +0100;2026-02-06 03:05:30 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907741;e955041;4054571386533;Cube;Cube Acid Grau Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-05-28 04:36:01 +0200;2026-02-06 06:57:43 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907742;e955044;4054571386540;Cube;Cube Acid Grau Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-07-18 04:09:59 +0200;2026-02-06 03:05:37 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907743;e955047;4054571386557;Cube;Cube Acid Grau Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-07-21 04:05:43 +0200;2026-02-06 03:05:35 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907747;e955059;4054571386595;Cube;Cube Acid Grün Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-07-28 04:08:08 +0200;2026-02-06 06:46:52 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907748;e955062;4054571386601;Cube;Cube Acid Grün Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-08-29 04:06:17 +0200;2026-02-06 03:05:26 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907749;e955065;4054571386618;Cube;Cube Acid Grün Modell Aktion;Fahrräder;m000065217;;899.99;39.99;939.98;1199.0;0;1;1;;;;;;;;1099.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;839.99;1099.99;2025-01-22 05:56:13 +0100;2026-02-06 03:05:23 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X7154489;e1689430;4054571474018;Cube;Cube Acid 160 Grün Modell 2026;Fahrräder;m000092256;;299.0;12.99;311.99;299.0;4;2;4;259.0;bike-discount.de;259.0;bike-discount.de;40.0;52.99;299.0;;;;329.0;329.0;2026-02-13 05:13:47 +0100;2026-02-06 07:07:21 +0100;2025-01-15 13:53:54 +0100;1;2026-04-01 20:01:38 +0200
X7154490;e1689433;4054571474025;Cube;Cube Acid 160 Grün Modell 2026;Fahrräder;m000092256;;299.0;12.99;311.99;299.0;3;1;3;299.0;multicycle.de;299.0;multicycle.de;0.0;12.99;299.0;;;;329.0;329.0;2026-01-31 02:07:16 +0100;2026-02-06 06:16:38 +0100;2025-01-15 13:53:54 +0100;1;2026-04-01 20:01:38 +0200
X7113697;e1576256;4054571474056;Cube;Cube Acid 200 Allroad Blau Modell 2025;Fahrräder;m000088774;;399.0;12.99;411.99;399.0;2;2;3;319.0;multicycle.de;319.0;multicycle.de;80.0;92.99;359.0;;;;399.0;399.0;2026-01-31 05:19:18 +0100;2026-02-06 03:07:03 +0100;2025-01-15 13:53:54 +0100;1;2026-04-01 20:01:38 +0200
X6907847;e955353;4054571387547;Cube;Cube Acid 200 SLX Weiß Modell Aktion;Fahrräder;m000065200;;499.99;12.99;512.98;599.0;0;1;1;;;;;;;;;;;419.99;529.99;2025-03-26 04:06:16 +0100;2026-02-06 06:15:41 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X7113496;e1575737;4054571474100;Cube;Cube Acid 240 Grün Modell 2026;Fahrräder;m000088724;;379.0;12.99;391.99;379.0;3;1;2;379.0;fahrrad.de;379.0;lucky-bike.de;0.0;12.99;379.0;;;;429.0;429.0;2026-02-02 11:33:33 +0100;2026-02-06 07:08:53 +0100;2025-01-15 13:53:54 +0100;1;2026-04-01 20:01:38 +0200
X6907588;e954614;4054571385253;Cube;Cube Aim Schwarz Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-01-22 05:55:06 +0100;2026-02-06 03:10:17 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907589;e954617;4054571385260;Cube;Cube Aim Schwarz Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-01-22 05:54:53 +0100;2026-02-06 03:10:15 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907593;e954629;4054571385307;Cube;Cube Aim Grün Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-03-03 04:03:16 +0100;2026-02-06 05:56:10 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907594;e954632;4054571385314;Cube;Cube Aim Grün Modell Aktion;Fahrräder;m000064166;;449.99;39.99;489.98;599.0;0;1;1;;;;;;;;529.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;419.99;529.99;2025-08-15 04:08:31 +0200;2026-02-06 06:44:58 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907670;e954828;4054571385826;Cube;Cube Aim EX Grau Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;529.99;669.99;2025-07-28 04:07:24 +0200;2026-02-06 07:14:23 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
X6907671;e954831;4054571385833;Cube;Cube Aim EX Grau Modell Aktion;Fahrräder;m000065232;;559.99;39.99;599.98;749.0;0;1;1;;;;;;;;669.99;Kein Mitbewerber gefunden, gehe auf Standardpreis.;2026-03-27 20:01:35 +0100;529.99;669.99;2025-06-20 04:05:58 +0200;2026-02-06 03:10:09 +0100;2025-01-15 13:53:54 +0100;0;2026-04-01 20:01:38 +0200
